Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Timberline Four Seasons,West Virginia,West Virginia,4265,1000,3268,0,0,0,0,2,1,1,4,40.0,1.0,2.0,100.0,100.0,97.0,37.0,150.0,92.0,115.0,27.0,4,0.22319597666932456,16.50846058605035,0.18450184501845018,0.28362573099415206,0.1111111111111111,0.1443850267379679,0.1,0.04,0.0,0.0
Winterplace Ski Resort,West Virginia,West Virginia,3600,603,2997,0,0,0,2,3,2,2,9,27.0,2.0,1.2,90.0,90.0,120.0,36.0,100.0,72.0,120.0,74.0,4,0.22319597666932456,16.50846058605035,0.16605166051660517,0.3508771929824561,0.2222222222222222,0.39572192513368987,0.3333333333333333,0.1,0.0,0.0
Alpine Valley Resort,Wisconsin,Wisconsin,1040,388,820,0,0,3,0,3,1,5,12,21.0,3.0,0.2,90.0,90.0,100.0,55.0,80.0,65.0,120.0,90.0,15,0.2576242169511926,22.90216196408941,0.05142857142857143,0.06583278472679395,0.075,0.08450704225352113,0.5714285714285714,0.13333333333333333,0.14285714285714285,0.03333333333333333
Bruce Mound,Wisconsin,Wisconsin,1375,375,1000,0,0,0,0,1,0,4,5,12.0,2.0,0.5,40.0,30.0,42.0,71.0,42.0,25.0,42.0,30.0,15,0.2576242169511926,22.90216196408941,0.022857142857142857,0.027649769585253458,0.05,0.028169014084507043,0.4166666666666667,0.125,0.0,0.0
Cascade Mountain,Wisconsin,Wisconsin,1280,460,820,0,0,2,2,3,2,3,12,47.0,4.0,1.1,175.0,175.0,120.0,57.0,56.0,64.0,120.0,,15,0.2576242169511926,22.90216196408941,0.1,0.07899934167215274,0.1,,0.2553191489361702,0.06857142857142857,0.0425531914893617,0.011428571428571429
Christie Mountain,Wisconsin,Wisconsin,1650,350,1300,0,0,0,0,0,1,5,6,30.0,4.0,0.8,45.0,41.0,92.0,43.0,48.0,38.0,120.0,35.0,15,0.2576242169511926,22.90216196408941,0.025714285714285714,0.06056616194865043,0.1,0.03286384976525822,0.2,0.13333333333333333,0.0,0.0
Devils Head,Wisconsin,Wisconsin,995,500,495,0,0,0,3,1,6,2,12,27.0,1.0,1.0,260.0,260.0,110.0,48.0,45.0,65.0,135.0,200.0,15,0.2576242169511926,22.90216196408941,0.14857142857142858,0.07241606319947334,0.025,0.18779342723004694,0.4444444444444444,0.046153846153846156,0.0,0.0
Grand Geneva,Wisconsin,Wisconsin,1086,211,875,0,0,0,0,0,3,3,6,20.0,1.0,0.2,30.0,30.0,90.0,25.0,25.0,49.0,93.0,30.0,15,0.2576242169511926,22.90216196408941,0.017142857142857144,0.05924950625411455,0.025,0.028169014084507043,0.3,0.2,0.0,0.0
Granite Peak Ski Area,Wisconsin,Wisconsin,1942,700,1242,0,1,2,0,2,0,2,7,75.0,4.0,0.6,220.0,160.0,136.0,82.0,75.0,92.0,135.0,200.0,15,0.2576242169511926,22.90216196408941,0.12571428571428572,0.08953258722843976,0.1,0.18779342723004694,0.09333333333333334,0.031818181818181815,0.02666666666666667,0.00909090909090909
Mount La Crosse,Wisconsin,Wisconsin,1110,516,594,0,0,0,0,0,3,1,4,19.0,1.0,0.4,100.0,100.0,115.0,60.0,40.0,56.0,100.0,90.0,15,0.2576242169511926,22.90216196408941,0.05714285714285714,0.07570770243581304,0.025,0.08450704225352113,0.21052631578947367,0.04,0.0,0.0
Nordic Mountain,Wisconsin,Wisconsin,1137,265,872,0,0,0,0,1,1,5,7,18.0,4.0,1.0,60.0,60.0,68.0,43.0,80.0,47.0,90.0,60.0,15,0.2576242169511926,22.90216196408941,0.03428571428571429,0.04476629361421988,0.1,0.056338028169014086,0.3888888888888889,0.11666666666666667,0.0,0.0
Sunburst,Wisconsin,Wisconsin,1100,214,866,0,0,0,0,0,3,6,9,13.0,4.0,0.5,37.0,37.0,99.0,59.0,50.0,44.0,115.0,37.0,15,0.2576242169511926,22.90216196408941,0.021142857142857144,0.065174456879526,0.1,0.03474178403755868,0.6923076923076923,0.24324324324324326,0.0,0.0
Trollhaugen,Wisconsin,Wisconsin,1200,260,920,0,0,0,2,0,1,5,8,24.0,4.0,0.5,86.0,86.0,130.0,69.0,50.0,54.0,120.0,86.0,15,0.2576242169511926,22.90216196408941,0.04914285714285714,0.08558262014483213,0.1,0.08075117370892018,0.3333333333333333,0.09302325581395349,0.0,0.0
Tyrol Basin,Wisconsin,Wisconsin,1160,300,860,0,0,0,0,3,0,2,5,18.0,5.0,0.5,32.0,32.0,112.0,61.0,41.0,48.0,103.0,32.0,15,0.2576242169511926,22.90216196408941,0.018285714285714287,0.07373271889400922,0.125,0.03004694835680751,0.2777777777777778,0.15625,0.0,0.0
Whitecap Mountain,Wisconsin,Wisconsin,1750,400,1295,0,0,0,1,0,4,0,5,43.0,1.0,1.0,400.0,300.0,105.0,57.0,200.0,60.0,118.0,,15,0.2576242169511926,22.90216196408941,0.22857142857142856,0.06912442396313365,0.025,,0.11627906976744186,0.0125,0.0,0.0
Wilmot Mountain,Wisconsin,Wisconsin,1030,230,800,0,0,0,3,2,2,3,10,23.0,2.0,0.5,135.0,135.0,125.0,81.0,70.0,66.0,139.0,135.0,15,0.2576242169511926,22.90216196408941,0.07714285714285714,0.08229098090849243,0.05,0.1267605633802817,0.43478260869565216,0.07407407407407407,0.0,0.0
Grand Targhee Resort,Wyoming,Wyoming,9920,2270,7851,0,0,2,2,0,0,1,5,95.0,1.0,2.7,2602.0,,152.0,50.0,500.0,90.0,152.0,,8,1.3822679215355613,8.17887192908918,0.3988962133987429,0.2122905027932961,0.07142857142857142,,0.05263157894736842,0.001921598770176787,0.021052631578947368,0.0007686395080707148
Hogadon Basin,Wyoming,Wyoming,8000,640,7400,0,0,0,0,0,1,1,2,28.0,1.0,0.6,92.0,32.0,121.0,61.0,80.0,48.0,95.0,,8,1.3822679215355613,8.17887192908918,0.01410393990495171,0.16899441340782123,0.07142857142857142,,0.07142857142857142,0.021739130434782608,0.0,0.0
Sleeping Giant Ski Resort,Wyoming,Wyoming,7428,810,6619,0,0,0,0,1,1,1,3,48.0,1.0,1.0,184.0,18.0,61.0,81.0,310.0,42.0,77.0,,8,1.3822679215355613,8.17887192908918,0.02820787980990342,0.08519553072625698,0.07142857142857142,,0.0625,0.016304347826086956,0.0,0.0
Snow King Resort,Wyoming,Wyoming,7808,1571,6237,0,0,0,1,1,1,0,3,32.0,2.0,1.0,400.0,250.0,121.0,80.0,300.0,59.0,123.0,110.0,8,1.3822679215355613,8.17887192908918,0.06132147784761613,0.16899441340782123,0.14285714285714285,1.0,0.09375,0.0075,0.0,0.0
Snowy Range Ski & Recreation Area,Wyoming,Wyoming,9663,990,8798,0,0,0,0,1,3,1,5,33.0,2.0,0.7,75.0,30.0,131.0,59.0,250.0,49.0,,,8,1.3822679215355613,8.17887192908918,0.011497777096428024,0.1829608938547486,0.14285714285714285,,0.15151515151515152,0.06666666666666667,0.0,0.0
White Pine Ski Area,Wyoming,Wyoming,9500,1100,8400,0,0,0,0,2,0,0,2,25.0,,0.4,370.0,,,81.0,150.0,49.0,,,8,1.3822679215355613,8.17887192908918,0.05672236700904492,,,,0.08,0.005405405405405406,0.0,0.0
